station,valid,tmpf
AUO,2006-01-02 04:55,62.60
OZR,2006-01-02 04:55,66.20
MOB,2006-01-02 04:56,71.96
3A1,2006-01-02 05:00,68.00
ALX,2006-01-02 05:00,64.40
MDQ,2006-01-02 05:00,64.40
DHN,2006-01-02 05:06,68.00
AUO,2006-01-02 05:15,62.60
MDQ,2006-01-02 05:20,62.60
3A1,2006-01-02 05:20,68.00
ALX,2006-01-02 05:20,64.40
AUO,2006-01-02 05:35,62.60
DHN,2006-01-02 05:37,66.20
MDQ,2006-01-02 05:40,62.60
3A1,2006-01-02 05:40,68.00
ALX,2006-01-02 05:40,64.40
ANB,2006-01-02 05:43,66.20
MGM,2006-01-02 05:53,66.02
MSL,2006-01-02 05:53,68.00
TCL,2006-01-02 05:53,69.08
HSV,2006-01-02 05:53,66.02
DHN,2006-01-02 05:53,68.00
ANB,2006-01-02 05:53,66.02
BHM,2006-01-02 05:53,66.92
AUO,2006-01-02 05:55,62.60
MOB,2006-01-02 05:56,71.96
MDQ,2006-01-02 06:00,64.40
3A1,2006-01-02 06:00,68.00
ALX,2006-01-02 06:00,68.00
DHN,2006-01-02 06:10,69.80
AUO,2006-01-02 06:15,62.60
DHN,2006-01-02 06:16,69.80
ANB,2006-01-02 06:18,66.20
3A1,2006-01-02 06:20,68.00
ALX,2006-01-02 06:20,68.00
MDQ,2006-01-02 06:20,66.20
ANB,2006-01-02 06:35,66.20
AUO,2006-01-02 06:35,62.60
ALX,2006-01-02 06:40,68.00
MDQ,2006-01-02 06:40,64.40
3A1,2006-01-02 06:40,68.00
DHN,2006-01-02 06:42,69.80
BHM,2006-01-02 06:53,69.08
HSV,2006-01-02 06:53,66.92
MGM,2006-01-02 06:53,66.02
MSL,2006-01-02 06:53,68.00
ANB,2006-01-02 06:53,66.92
DHN,2006-01-02 06:53,69.08
TCL,2006-01-02 06:53,69.08
AUO,2006-01-02 06:55,62.60
OZR,2006-01-02 06:55,71.60
MOB,2006-01-02 06:56,71.06
ALX,2006-01-02 07:00,68.00
3A1,2006-01-02 07:00,68.00
MDQ,2006-01-02 07:00,66.20
ANB,2006-01-02 07:05,66.20
DHN,2006-01-02 07:07,69.80
DHN,2006-01-02 07:15,69.80
AUO,2006-01-02 07:15,62.60
ANB,2006-01-02 07:17,68.00
MDQ,2006-01-02 07:20,64.40
ANB,2006-01-02 07:26,68.00
OZR,2006-01-02 07:35,71.60
AUO,2006-01-02 07:35,62.60
MDQ,2006-01-02 07:40,64.40
3A1,2006-01-02 07:40,68.00
ALX,2006-01-02 07:40,68.00
TCL,2006-01-02 07:53,69.98
HSV,2006-01-02 07:53,68.00
BHM,2006-01-02 07:53,69.98
ANB,2006-01-02 07:53,69.08
MGM,2006-01-02 07:53,69.08
MSL,2006-01-02 07:53,68.00
DHN,2006-01-02 07:53,71.06
OZR,2006-01-02 07:55,64.40
AUO,2006-01-02 07:55,62.60
MOB,2006-01-02 07:56,71.06
3A1,2006-01-02 08:00,68.00
ALX,2006-01-02 08:00,68.00
MDQ,2006-01-02 08:00,66.20
DHN,2006-01-02 08:02,69.80
DHN,2006-01-02 08:08,62.60
